agency,fiscal_year,approp_disc_raw,approp_mand_raw,approp_disc_net,approp_mand_net,budget_authority,total_resources,obligations_total,outlays_net,approp_precluded
DOE_SC,2016,5641200000.0,,5710438000.0,,6388438000.0,6728496000.0,6080950000.0,4785137000.0,-4286768000.0
DOE_SC,2017,5698000000.0,,5729998911.0,,6434995911.0,6765822085.62,5756145915.51,4930144094.509999,-2284689137.0
DOE_SC,2018,6613217000.0,,6728537856.0,,7286644363.15,7647517759.87,7156777161.15,5563020438.089999,-2809553431.0
DOE_SC,2019,6951000000.0,,7074006350.13,,7652220414.570001,8223745058.88,7765958314.86,5978221355.24,
DOE_SC,2020,7524500000.0,,7658195759.93,,8218601319.79,8750616703.22,8287668722.35,6325536608.7,-5412743700.0
DOE_SC,2021,7453000000.0,,7590631339.55,,8169249109.509999,8734694756.62,8166255328.32,7041555729.09,-5949834747.0
DOE_SC,2022,7925000000.0,1550000000.0,8109954990.0,1550000000.0,10255624704.12,10899632616.460001,9932146968.91,7483069608.62,-4145358600.0
DOE_SC,2023,8570000000.0,,8753091651.0,,9406784020.309998,10444503340.380001,9634878725.96,8357431246.040001,-6252825000.0
DOE_SC,2024,8798000000.0,,8952338265.0,,9713103539.920002,10637127057.759998,9800865940.199999,8472051594.009999,-4999380000.0
DOE_SC,2025,8700000000.0,150000000.0,8846326104.0,150265000.0,9593118329.15,11498028779.19,10162513618.41,9039662975.400002,-4767600000.0
DOE_SC,2026,8600000000.0,,8600000000.0,,9453086373.89,10923771943.46,2973673158.79,3851401458.9099994,-5792460000.0
NASA_SCI,2016,5589400000.0,,5584100000.0,,5584100000.0,5886661000.0,5081317000.0,4304472000.0,-4204186000.0
NASA_SCI,2017,5764900000.0,,5762200000.0,,5762200000.0,6110203374.18,5167498809.65,4648352150.72,-2372027066.0
NASA_SCI,2018,6221500000.0,,6211500000.0,,6211500000.0,6539913743.85,6140343110.780001,5351414163.65,-2980627406.0
NASA_SCI,2019,6905700000.0,,6886600000.0,,6886600000.0,7320560373.17,6576118697.13,5741562689.57,-3869150850.0
NASA_SCI,2020,7138900000.0,,7073100000.0,,7073100000.0,7909978765.67,7270516724.950001,6207971625.76,-5025278790.0
NASA_SCI,2021,7301000000.0,,7297310000.0,,7297310000.0,7974194506.059999,7098599098.82,6001781513.54,-4976753090.0
NASA_SCI,2022,7614400000.0,,7610900000.0,,7610901951.84,8519022422.91,7800753242.36,6307931705.200001,-3668001520.0
NASA_SCI,2023,7795000000.0,,7791450000.0,,7791450000.0,8615158050.72,7911631018.66,6837602969.8,-5255219640.0
NASA_SCI,2024,7334200000.0,,7325400000.0,,7325400000.0,8113311983.77,7250528182.87,6722614241.88,-4387805500.0
NASA_SCI,2025,7334200000.0,,7334200000.0,,7334200000.0,8272760195.94,7595214107.12,6581691266.5,-4019141600.0
NASA_SCI,2026,7250000000.0,,7250000000.0,,7250000000.0,8160525616.94,1872404879.54,2196331477.39,-4798910360.0
NIH,2016,31239886000.0,150000000.0,31252486000.0,182597000.0,32832594000.0,33317919000.0,28961426000.0,7094719000.0,-23501093000.0
NIH,2017,32993443000.0,352000000.0,33286479000.0,391828116.44,35105830271.79,35398828659.4,30186266343.32,7568343313.49,-24984972.0
NIH,2018,35663615000.0,646000000.0,36072346000.0,691618223.29,38048566816.479996,38236280795.34,37441441242.12,9562416896.73,-14184953623.0
NIH,2019,37093579000.0,861000000.0,37688727944.0,912456231.38,40185697872.899994,41009620366.100006,40412505959.630005,10538285783.16,-59968681.0
NIH,2020,41385979000.0,642000000.0,43691579000.0,697503051.74,46105886257.29,46676242845.61,43966375295.880005,10842099923.1,-25636825813.0
NIH,2021,42152395000.0,554000000.0,41377934134.0,607660135.71,43746949585.28999,45776469491.21,44383645764.26001,11774436321.099998,-26588932226.0
NIH,2022,42983227000.0,646000000.0,44477227000.0,688672983.79,46999297341.229996,48441320332.12,46417397826.23,11793846553.93,-18765238639.0
NIH,2023,44709453000.0,1235000000.0,47294295744.36,1283299466.44,50545349811.28,52597214088.32001,50035477062.3,13715546937.95,-28584102783.0
NIH,2024,46478632000.0,602753424.0,46893232000.0,651788924.62,49489005041.06,52170220842.560005,49801034007.799995,14562342172.820002,-22331180588.0
NIH,2025,46478632000.0,246093960.0,46613232000.0,292765507.59000003,48764531003.54,51413371401.21,48760745806.18001,12887919826.050001,-25467550361.0
NIH,2026,46777018000.0,279145205.0,46852547200.0,329759272.40999997,48143781278.85,50817791322.46001,9122913104.470001,3035665367.94,-30940473183.0
NSF,2016,6913645000.0,,6888645000.0,,7023501000.0,7119473000.0,5796595000.0,3055448000.0,-5462155000.0
NSF,2017,6913645000.0,,6878695000.0,,7013472357.72,7117026894.8,6167981745.82,3144689337.49,-2935533667.0
NSF,2018,7252776000.0,,7252776000.0,,7337972107.76,7414311970.8,7365891645.1,3385343951.7499995,-3593341204.0
NSF,2019,7430000000.0,,7426510000.0,,7525438577.46,7642132308.47,7613699385.42,3485519161.12,-4500364426.0
NSF,2020,7752200000.0,,7732350000.0,,7827501454.56,7879636034.4,7855949915.37,3322641297.82,-5785741000.0
NSF,2021,7877769000.0,528000000.0,7848479000.0,528000000.0,8484688799.66,8532951184.940001,8179157461.65,3344769994.4800005,-6162488440.0
NSF,2022,8165400000.0,,8148980000.0,,8233446155.68,8623457369.93,8524220368.139999,3547823264.8900003,-4381615119.0
NSF,2023,9212798000.0,,9212798000.0,,9336825840.130001,9479004331.74,8946464218.24,3748322662.4500003,-6442500600.0
NSF,2024,8348500000.0,,8348500000.0,,8444271268.67,8980923393.93,8753632139.31,4048781960.14,-4601784056.0
NSF,2025,8348500000.0,,8325100000.0,9693600.0,8421764152.05,8817784093.94,8657276843.03,4060718152.48,-4574978000.0
NSF,2026,8114750000.0,,8114750000.0,,8249430476.0,8370755041.78,479002468.17,1125473818.7900002,-5919013700.0
USDA_RD,2016,1994410000.0,,1994566000.0,93200000.0,2321017000.0,2704108000.0,1783521000.0,1267210000.0,-1565840000.0
USDA_RD,2017,2055753000.0,,2055891000.0,100000000.0,2511923606.8,3007228841.3599997,1828961220.4899998,1214519848.17,-848004296.0
USDA_RD,2018,2132937000.0,,2132679000.0,93400000.0,2402473959.7799997,2957800992.7799997,2372381621.51,1361186778.97,-979682924.0
USDA_RD,2019,2273915000.0,,2274007000.0,145040000.0,2572015918.98,3164788624.71,2494478251.55,1338849263.2399998,-1348861922.0
USDA_RD,2020,2427230000.0,,2427322000.0,94100000.0,2707846363.06,3397737018.3999996,2697729725.98,1355920413.72,-1692940281.0
USDA_RD,2021,2567226000.0,,2567226000.0,99015000.0,2838242497.17,3574201917.71,2928215921.8,1428480887.2299998,-1743963543.0
USDA_RD,2022,2741540000.0,270000000.0,2740029374.4,372590000.0,3326050539.6400003,3993790975.51,2993506334.08,1567855300.3999999,-559866535.0
USDA_RD,2023,2880400000.0,,2880400000.0,122590000.0,3204884150.9700003,4235065713.14,3638386158.15,1693776810.24,-980097600.0
USDA_RD,2024,2905613000.0,,2868613000.0,134590000.0,3308326044.94,3952554806.56,3376721240.94,1861923494.8000002,-695792893.0
USDA_RD,2025,2905613000.0,,2868613000.0,124590000.0,3173709594.02,3779092582.03,2791005478.6599994,1866781453.3799999,-680894390.0
USDA_RD,2026,2909473000.0,,2887473000.0,412000000.0,3566867383.37,4561624849.5199995,911541092.09,560019092.75,
